Carbon,pH,EC,Nitrogen,Phosphorus,Potassium,Crop_Name,mean_smi,mean_ndwi,mean_msi,SFI,Fertility_Level,Ideal_Crop
1.07,7.6,39.0,501.76,32.28,971.67,Soyabean,0.488084454,-0.201002358,1.067660243,2.8333333333333335,High,Wheat
0.63,7.8,44.0,658.56,26.32,580.89,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Wheat
1.01,7.7,71.0,439.04,22.81,718.19,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Wheat
0.95,7.6,36.0,595.84,17.54,697.07,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Wheat
0.91,7.4,39.0,219.52,17.54,802.68,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Onion
0.81,7.5,53.0,313.6,19.74,580.89,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.23,7.4,23.0,94.08,25.44,728.75,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.96,8.0,55.00000000000001,141.12,21.93,602.01,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Soyabean
0.47,7.9,66.0,78.4,9.65,496.4,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.18,7.3,84.0,78.4,21.93,443.59,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
1.08,7.7,63.0,250.88,22.81,781.56,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Rice
0.96,7.8,57.99999999999999,125.44,23.68,570.33,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Soyabean
0.8,8.1,52.0,329.28,14.47,422.46,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Wheat
0.34,7.3,40.0,219.52,22.59,602.01,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.23,7.0,53.0,94.08,21.49,718.19,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.54,7.5,28.999999999999996,109.76,20.61,802.68,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Cotton
0.73,7.9,52.0,125.44,20.83,580.89,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Soyabean
0.85,7.6,56.00000000000001,78.4,20.18,781.56,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Soyabean
1.02,7.6,39.0,282.24,31.8,697.07,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Rice
0.44,7.0,78.0,172.48,23.46,623.13,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.76,7.7,50.0,470.4,22.81,337.97,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Wheat
0.27,7.9,69.0,172.48,19.08,802.68,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.76,7.6,76.0,203.84,12.06,718.19,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Bean
1.15,7.3,43.0,297.92,25.88,718.19,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Rice
0.27,8.0,50.0,141.12,29.39,939.98,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Cotton
0.45,8.0,46.0,156.8,13.82,411.9,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.81,7.4,40.0,141.12,13.6,982.22,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Cotton
0.73,7.1,28.000000000000004,297.92,23.25,707.63,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Rice
0.91,7.6,36.0,627.2,24.34,580.89,Soyabean,0.488084454,-0.201002358,1.067660243,2.8333333333333335,High,Wheat
0.32,7.6,18.0,172.48,29.6,549.2,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Onion
1.13,7.5,33.0,533.12,22.15,855.49,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Wheat
0.83,7.1,28.000000000000004,548.8,20.83,686.5,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Wheat
1.01,8.2,34.0,109.76,8.55,549.2,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Soyabean
0.48,7.9,56.99999999999999,94.08,13.16,390.78,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.74,8.3,49.0,141.12,21.49,506.96,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Soyabean
